epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,3326.44,0.66283,1.42164,0.57516,0.99006,0,0.84841,0.77749,0.83469,0.60999,0.85078,0.74324,0.79856,0.55207,0.82943,1.94361,0.68472,1.08794,0,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,3364.08,0.65541,1.43633,0.576,0.99005,0,0.85526,0.76577,0.83084,0.60638,0.85599,0.74315,0.80371,0.54879,0.83647,1.9632,0.68642,1.09055,0,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,3406.64,0.65551,1.41898,0.56725,0.99642,0,0.84739,0.75527,0.82739,0.60408,0.85341,0.7382,0.79833,0.55254,0.83549,1.94824,0.69004,1.09482,0,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,3449.88,0.64466,1.43186,0.57164,0.9931,0,0.85066,0.75972,0.82897,0.60959,0.8143,0.76242,0.80215,0.55477,0.83469,1.9289,0.68486,1.09443,0,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,3491.88,0.66551,1.44978,0.57532,0.98962,0,0.84151,0.77675,0.82894,0.60729,0.82138,0.76416,0.80326,0.5524,0.83092,1.91489,0.68915,1.08847,0,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,3533.29,0.65087,1.38766,0.55515,0.98526,0,0.83886,0.77429,0.82874,0.60771,0.83535,0.75293,0.79745,0.55063,0.82784,1.91587,0.68731,1.08661,0,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
84,3576.1,0.65346,1.4415,0.57744,0.99137,0,0.82639,0.78237,0.82633,0.60542,0.81035,0.76712,0.80051,0.55119,0.83318,1.9525,0.69206,1.09402,0,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875
85,3618.43,0.64978,1.43185,0.5813,0.987,0,0.83131,0.77688,0.82747,0.6064,0.82211,0.75316,0.79733,0.55231,0.83067,1.95822,0.68572,1.09762,0,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
86,3660.35,0.65012,1.41264,0.56718,0.98906,0,0.82997,0.77474,0.82879,0.60858,0.86304,0.72329,0.79818,0.55421,0.81856,1.93173,0.68458,1.0868,0,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
87,3701.93,0.66386,1.4564,0.57546,0.9878,0,0.83662,0.77278,0.82851,0.61304,0.85337,0.73404,0.79798,0.55385,0.81806,1.94312,0.68378,1.08677,0,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
